LANG,TOPIC,WORD
"ru","дом","гвоздь"
"ru","дом","унитаз"
"ru","дом","чайник"
"ru","дом","табурет"
"ru","дом","стул"
"ru","дом","ложка"
"ru","дом","чашка"
"ru","дом","пиала"
"ru","дом","мухобойка"
"ru","дом","компьютер"
"ru","дом","люстра"
"ru","дом","секция"
"ru","дом","мебель"
"ru","дом","балкон"
"ru","дом","подвал"
"ru","флора","гвоздика"
"ru","флора","куст"
"ru","флора","флорист"
"ru","флора","плющ"
"ru","флора","мухоловка"
"ru","флора","баобаб"
"ru","фауна","верблюд"
"ru","фауна","лис"
"ru","фауна","селёдка"
"ru","фауна","паук"
"ru","фауна","олень"
"ru","фауна","муха"
"ru","фауна","лошадь"
"ru","фауна","ягнёнок"
"ru","фауна","динозавр"
"ru","фауна","креветка"
"ru","еда","молоко"
"ru","еда","холодец"
"ru","еда","мороженое"
"ru","еда","уксус"
"ru","еда","кетчуп"
"ru","еда","гамбургер"
"ru","еда","какао"
"ru","еда","солянка"
"ru","тело человека","прыщ"
"ru","тело человека","кровь"
"ru","тело человека","козявка"
"ru","тело человека","ноздря"
"ru","тело человека","ягодицы"
"ru","тело человека","мозжечок"
"ru","тело человека","мозг"
"ru","тело человека","ноготь"
"ru","тело человека","грудь"
"ru","тело человека","висок"
"ru","тело человека","перхоть"
"ru","тело человека","хрящ"
"ru","тело человека","клык"
"ru","тело человека","щёки"
"ru","тело человека","лицо"
"ru","веселье","цирк"
"en","house","sofa"
"en","house","lamp"
"en","house","curtain"
"en","house","chimney"
"en","house","wardrobe"
"en","house","refrigerator"
"en","animal","cat"
"en","animal","dog"
"en","animal","elephant"
"en","animal","giraffe"
"en","animal","dolphin"
"en","animal","butterfly"
"en","animal","crocodile"
"en","food","bread"
"en","food","pizza"
"en","food","spaghetti"
"en","food","chocolate"
"en","food","hamburger"
"en","food","strawberry"
"en","sport","tennis"
"en","sport","soccer"
"en","sport","swimming"
"en","sport","basketball"
"en","sport","volleyball"
"en","country","france"
"en","country","japan"
"en","country","brazil"
"en","country","australia"
"en","country","switzerland"
"en","profession","doctor"
"en","profession","teacher"
"en","profession","engineer"
"en","profession","astronaut"
"en","profession","firefighter"
"en","nature","mountain"
"en","nature","ocean"
"en","nature","volcano"
"en","nature","lightning"
"en","nature","earthquake"
"en","music","guitar"
"en","music","piano"
"en","music","violin"
"en","music","saxophone"
"en","music","tambourine"
"en","clothing","shirt"
"en","clothing","jacket"
"en","clothing","umbrella"
"en","clothing","suspenders"
"en","vehicle","bicycle"
"en","vehicle","airplane"
"en","vehicle","submarine"
"en","vehicle","helicopter"
"et","kodu","vood"
"et","kodu","laud"
"et","kodu","tool"
"et","kodu","kapp"
"et","kodu","hiir"
"et","kodu","kušett"
"et","kodu","rõdu"
"et","kodu","aken"
"et","kodu","aknalaud"
"et","söök","juust"
"et","söök","vorst"
"et","söök","või"
"et","söök","võileib"
"et","söök","burger"
"et","söök","viiner"
"et","söök","puder"
"et","söök","seljanka"
"et","söök","borš"
"et","söök","šnitsel"
"et","söök","piim"
"et","söök","kohupiim"
"et","söök","seen"
"et","söök","pitsa"
"et","fauna","krooks"
"et","fauna","kikerikii"
"et","fauna","kukeleegu"
"et","fauna","muu"
"et","fauna","huige"
"et","fauna","küünis"
